image_base=0x400000  type_descriptors=389  COLs=442  vtables=392
vtable_va,col_va,base_offset,class,mangled
0x009A9048,0x009BFCB8,0,CSWRK4SplitAcceleration,.?AVCSWRK4SplitAcceleration@@
0x009972B8,0x009BC378,0,CSWRoom,.?AVCSWRoom@@
0x009983B4,0x009BC710,0,CSWRoomSurfaceMesh,.?AVCSWRoomSurfaceMesh@@
0x00998F04,0x009BC874,0,CSWRules,.?AVCSWRules@@
0x00996890,0x009BC214,0,CSWSAmbientSound,.?AVCSWSAmbientSound@@
0x00992FA8,0x009BBCF4,0,CSWSArea,.?AVCSWSArea@@
0x00992FA0,0x009BBE1C,260,CSWSArea,.?AVCSWSArea@@
0x00992F2C,0x009BBE30,288,CSWSArea,.?AVCSWSArea@@
0x0099814C,0x009BC640,0,CSWSAreaOfEffectObject,.?AVCSWSAreaOfEffectObject@@
0x0099B598,0x009BCA5C,0,CSWSClient,.?AVCSWSClient@@
0x00994F5C,0x009BC168,0,CSWSCreature,.?AVCSWSCreature@@
0x0099A080,0x009BC888,0,CSWSDialog,.?AVCSWSDialog@@
0x0099770C,0x009BC460,0,CSWSDoor,.?AVCSWSDoor@@
0x00992490,0x009BBC14,0,CSWSEffectListHandler,.?AVCSWSEffectListHandler@@
0x009979DC,0x009BC500,0,CSWSEncounter,.?AVCSWSEncounter@@
0x009973B0,0x009BC38C,0,CSWSItem,.?AVCSWSItem@@
0x009972CC,0x009BC44C,16,CSWSItem,.?AVCSWSItem@@
0x00992468,0x009BBCA8,0,CSWSItemPropertyHandler,.?AVCSWSItemPropertyHandler@@
0x00998768,0x009BC75C,0,CSWSMessage,.?AVCSWSMessage@@
0x009949B0,0x009BC050,0,CSWSModule,.?AVCSWSModule@@
0x0099493C,0x009BC0F0,28,CSWSModule,.?AVCSWSModule@@
0x0099450C,0x009BC004,0,CSWSObject,.?AVCSWSObject@@
0x00996A34,0x009BC2A8,0,CSWSPlaceable,.?AVCSWSPlaceable@@
0x00998318,0x009BC690,0,CSWSPlayer,.?AVCSWSPlayer@@
0x009972B0,0x009BC2F8,0,CSWSRoom,.?AVCSWSRoom@@
0x00998C34,0x009BC7F4,0,CSWSRules,.?AVCSWSRules@@
0x00997E54,0x009BC5A0,0,CSWSSoundObject,.?AVCSWSSoundObject@@
0x00998004,0x009BC5F0,0,CSWSStore,.?AVCSWSStore@@
0x00998C24,0x009BC7A8,0,CSWSSysAdmin,.?AVCSWSSysAdmin@@
0x00997884,0x009BC4B0,0,CSWSTrigger,.?AVCSWSTrigger@@
0x00997D1C,0x009BC550,0,CSWSWaypoint,.?AVCSWSWaypoint@@
0x0099F680,0x009BD734,0,CSWTlkTable,.?AVCSWTlkTable@@
0x009A3054,0x009BE00C,0,CSWTrackFollower,.?AVCSWTrackFollower@@
0x009A899C,0x009BFA88,0,CSWUpgradeItemEntry,.?AVCSWUpgradeItemEntry@@
0x009940D0,0x009BBFB8,0,CSWVirtualMachineCommands,.?AVCSWVirtualMachineCommands@@
0x00992398,0x009BBB80,0,CServerExoApp,.?AVCServerExoApp@@
0x009A4518,0x009BE604,0,CSoundSet,.?AVCSoundSet@@
0x0099C4BC,0x009BCD30,0,CTlkTable,.?AVCTlkTable@@
0x00994100,0x009BBF70,0,CVirtualMachineCmdImplementer,.?AVCVirtualMachineCmdImplementer@@
0x0099B650,0x009BCAB8,0,CVirtualMachineInternal,.?AVCVirtualMachineInternal@@
0x0098C45C,0x009BB188,0,Camera,.?AVCamera@@
0x0098C27C,0x009BB234,4,Camera,.?AVCamera@@
0x009914AC,0x009BB734,0,ChunkyParticle,.?AVChunkyParticle@@
0x009912CC,0x009BB608,0,CustomAnimation,.?AVCustomAnimation@@
0x0098D914,0x009BB340,0,CycleTIDTextureController,.?AVCycleTIDTextureController@@
0x009883A8,0x009BA454,0,DirtyTextureController,.?AVDirtyTextureController@@
0x009916CC,0x009BB824,0,ExplosionEmitter,.?AVExplosionEmitter@@
0x00991634,0x009BB7D0,0,FountainEmitter,.?AVFountainEmitter@@
0x0098B5CC,0x009BAB48,0,Gob,.?AVGob@@
0x00988368,0x009BA4D4,0,LifeTextureController,.?AVLifeTextureController@@
0x00991AA4,0x009BBAF0,0,LightManager,.?AVLightManager@@
0x009917EC,0x009BB8CC,0,LightningEmitter,.?AVLightningEmitter@@
0x009912EC,0x009BB650,0,LookAtAnimation,.?AVLookAtAnimation@@
0x0098BF20,0x009BADF8,0,P6AXXZ::?$funcholder,.?AV?$funcholder@P6AXXZ@@
0x0098B36C,0x009BA9E4,0,Part,.?AVPart@@
0x0098B2CC,0x009BA97C,0,PartAABB,.?AVPartAABB@@
0x0098B22C,0x009BA928,0,PartAnimMesh,.?AVPartAnimMesh@@
0x0098D944,0x009BB3E0,0,PartBeam,.?AVPartBeam@@
0x0098B12C,0x009BA888,0,PartCamera,.?AVPartCamera@@
0x0098AFEC,0x009BA7E0,0,PartDanglyMesh,.?AVPartDanglyMesh@@
0x009914CC,0x009BB780,0,PartEmitter,.?AVPartEmitter@@
0x0098B544,0x009BAA5C,0,PartLight,.?AVPartLight@@
0x0098AF4C,0x009BA6E4,0,PartLightsaber,.?AVPartLightsaber@@
0x0098B4B4,0x009BAA0C,0,PartProjection,.?AVPartProjection@@
0x0098B1AC,0x009BA8D8,0,PartReference,.?AVPartReference@@
0x0098D9CC,0x009BB38C,0,PartShadow,.?AVPartShadow@@
0x0098B08C,0x009BA834,0,PartSkin,.?AVPartSkin@@
0x0098B414,0x009BA9F8,0,PartTriMesh,.?AVPartTriMesh@@
0x009913B4,0x009BB69C,0,PartTrigger,.?AVPartTrigger@@
0x00991474,0x009BB6EC,0,Particle,.?AVParticle@@
0x0098833C,0x009BA520,0,PerlinTextureController,.?AVPerlinTextureController@@
0x009882FC,0x009BA56C,0,RandomTextureController,.?AVRandomTextureController@@
0x009882CC,0x009BA5B8,0,RingDistortTextureController,.?AVRingDistortTextureController@@
0x0098BB44,0x009BACC4,0,Scene,.?AVScene@@
0x0099175C,0x009BB878,0,SingleEmitter,.?AVSingleEmitter@@
0x0098D6F8,0x009BB248,0,TextureController,.?AVTextureController@@
0x00986CFC,0x009B9D38,0,USteamUGCRequestUGCDetailsResult_t::VSteamCallbacks::?$CCallResult,.?AV?$CCallResult@VSteamCallbacks@@USteamUGCRequestUGCDetailsResult_t@@@@
0x00990FEC,0x009BB484,0,VertexPrimitive,.?AVVertexPrimitive@@
0x009910D0,0x009BB5B8,0,VertexPrimitiveAnim,.?AVVertexPrimitiveAnim@@
0x00991094,0x009BB568,0,VertexPrimitiveDangly,.?AVVertexPrimitiveDangly@@
0x0099101C,0x009BB4CC,0,VertexPrimitiveFlat,.?AVVertexPrimitiveFlat@@
0x00991058,0x009BB518,0,VertexPrimitiveSkinned,.?AVVertexPrimitiveSkinned@@
0x0098D81C,0x009BB25C,0,WaterTextureController,.?AVWaterTextureController@@
0x0098D8B4,0x009BB2A8,0,WaveTextureController,.?AVWaveTextureController@@
0x0098BF40,0x009BAE90,0,Z::P6AXH::?$funcholder,.?AV?$funcholder@P6AXH@Z@@
0x0098BF30,0x009BAE44,0,Z::P6AXPAD::?$funcholder,.?AV?$funcholder@P6AXPAD@Z@@
0x0098BEA8,0x009BADB0,0,funcholderbase,.?AVfuncholderbase@@
0x00986A30,0x009B9B50,0,std::D::?$ctype,.?AV?$ctype@D@std@@
0x00986A7C,0x009B9C38,0,std::DDH::?$codecvt,.?AV?$codecvt@DDH@std@@
0x00986A70,0x009B9BA0,0,std::bad_alloc,.?AVbad_alloc@std@@
0x009AAD08,0x009C06C0,0,std::bad_cast,.?AVbad_cast@std@@
0x009AAF94,0x009C070C,0,std::bad_exception,.?AVbad_exception@std@@
0x00986AA0,0x009B9BEC,0,std::codecvt_base,.?AVcodecvt_base@std@@
0x00986A60,0x009B9B04,0,std::ctype_base,.?AUctype_base@std@@
0x009AACE8,0x009C06AC,0,std::exception,.?AVexception@std@@
0x009868F4,0x009B9844,0,std::ios_base,.?AVios_base@std@@
0x009869F4,0x009B9A6C,0,std::ios_base::failure,.?AVfailure@ios_base@std@@
0x0098BE4C,0x009BAD14,0,std::length_error,.?AVlength_error@std@@
0x009B8F30,0x009C0758,0,std::locale::_Locimp,.?AV_Locimp@locale@std@@
0x00986A68,0x009B9ABC,0,std::locale::facet,.?AVfacet@locale@std@@
0x0098BE6C,0x009BAD9C,0,std::logic_error,.?AVlogic_error@std@@
0x0098DA64,0x009BB434,0,std::out_of_range,.?AVout_of_range@std@@
0x00986A00,0x009B99EC,0,std::runtime_error,.?AVruntime_error@std@@
0x0098692C,0x009B9958,0,std::std::D::DU?$char_traits::?$basic_filebuf,.?AV?$basic_filebuf@DU?$char_traits@D@std@@@std@@
0x00986968,0x009B9900,88,std::std::D::DU?$char_traits::?$basic_ifstream,.?AV?$basic_ifstream@DU?$char_traits@D@std@@@std@@
0x009868FC,0x009B976C,0,std::std::D::DU?$char_traits::?$basic_ios,.?AV?$basic_ios@DU?$char_traits@D@std@@@std@@
0x00986970,0x009B9858,8,std::std::D::DU?$char_traits::?$basic_istream,.?AV?$basic_istream@DU?$char_traits@D@std@@@std@@
0x00986988,0x009B99D8,0,std::std::D::DU?$char_traits::?$basic_streambuf,.?AV?$basic_streambuf@DU?$char_traits@D@std@@@std@@
0x009AACC0,0x009C0664,0,type_info,.?AVtype_info@@
